DocForm	ColID	DocType	Name	AliasName	Field	ShowColumn	Width
DOC	ShipToDesc	I	ShipToDesc	ShipToDesc	ShipToDesc	N	100
DOC	UOM	I	UOM	UOM	UOM	N	100
DOC	TotalInvntryQty	I	TotalInvntryQty	TotalInvntryQty	TotalInvntryQty	N	100
DOC	StockPrice	I	StockPrice	StockPrice	StockPrice	N	100
DOC	StockValue	I	StockValue	StockValue	StockValue	N	100
DOC	INMPRice	I	INMPRice	INMPRice	INMPRice	N	100
DOC	PickQty	I	PickQty	PickQty	PickQty	N	100
DOC	PickStatus	I	PickStatus	PickStatus	PickStatus	N	100
DOC	InvntryUOM	I	InvntryUOM	InvntryUOM	InvntryUOM	N	100
DOC	ItemCost	I	ItemCost	ItemCost	ItemCost	N	100
DOC	Price	I	Price	Price	Price	N	100
DOC	PriceAfVat	I	PriceAfVat	PriceAfVat	PriceAfVat	N	100
DOC	Discount	I	Discount	Discount	Discount	N	100
DOC	DiscountAmt	I	DiscountAmt	DiscountAmt	DiscountAmt	N	100
DOC	Discount2	I	Discount2	Discount2	Discount2	N	100
DOC	DiscountAmt2	I	DiscountAmt2	DiscountAmt2	DiscountAmt2	N	100
DOC	Discount3	I	Discount3	Discount3	Discount3	N	100
DOC	DiscountAmt3	I	DiscountAmt3	DiscountAmt3	DiscountAmt3	N	100
DOC	Discount4	I	Discount4	Discount4	Discount4	N	100
DOC	DiscountAmt4	I	DiscountAmt4	DiscountAmt4	DiscountAmt4	N	100
DOC	Discount5	I	Discount5	Discount5	Discount5	N	100
DOC	DiscountAmt5	I	DiscountAmt5	DiscountAmt5	DiscountAmt5	N	100
DOC	PriceBeforeDscnt	I	PriceBeforeDscnt	PriceBeforeDscnt	PriceBeforeDscnt	N	100
DOC	VatGroup	I	VatGroup	VatGroup	VatGroup	N	100
DOC	VatPercent	I	VatPercent	VatPercent	VatPercent	N	100
DOC	VatSum	I	VatSum	VatSum	VatSum	N	100
DOC	VatSumSys	I	VatSumSys	VatSumSys	VatSumSys	N	100
DOC	VatSumFC	I	VatSumFC	VatSumFC	VatSumFC	N	100
DOC	FinacialPeriodID	I	FinacialPeriodID	FinacialPeriodID	FinacialPeriodID	N	100
DOC	AcctCode	I	AcctCode	AcctCode	AcctCode	N	100
DOC	COGSAcct	I	COGSAcct	COGSAcct	COGSAcct	N	100
DOC	LineTotal	I	LineTotal	LineTotal	LineTotal	N	100
DOC	LineTotalFC	I	LineTotalFC	LineTotalFC	LineTotalFC	N	100
DOC	LineTotalSC	I	LineTotalSC	LineTotalSC	LineTotalSC	N	100
DOC	LineVatSum	I	LineVatSum	LineVatSum	LineVatSum	N	100
DOC	LinVatSys	I	LinVatSys	LinVatSys	LinVatSys	N	100
DOC	LineVatFC	I	LineVatFC	LineVatFC	LineVatFC	N	100
DOC	OpenSum	I	OpenSum	OpenSum	OpenSum	N	100
DOC	OpenSumFC	I	OpenSumFC	OpenSumFC	OpenSumFC	N	100
DOC	Factor1	I	Factor1	Factor1	Factor1	N	100
DOC	Factor2	I	Factor2	Factor2	Factor2	N	100
DOC	Factor3	I	Factor3	Factor3	Factor3	N	100
DOC	Factor4	I	Factor4	Factor4	Factor4	N	100
DOC	Length1	I	Length1	Length1	Length1	N	100
DOC	Len1Unit	I	Len1Unit	Len1Unit	Len1Unit	N	100
DOC	Width1	I	Width1	Width1	Width1	N	100
DOC	Width1Unit	I	Width1Unit	Width1Unit	Width1Unit	N	100
DOC	Height1	I	Height1	Height1	Height1	N	100
DOC	Height1Unit	I	Height1Unit	Height1Unit	Height1Unit	N	100
DOC	Length2	I	Length2	Length2	Length2	N	100
DOC	Len2Unit	I	Len2Unit	Len2Unit	Len2Unit	N	100
DOC	Width2	I	Width2	Width2	Width2	N	100
DOC	Width2Unit	I	Width2Unit	Width2Unit	Width2Unit	N	100
DOC	Height2	I	Height2	Height2	Height2	N	100
DOC	Height2Unit	I	Height2Unit	Height2Unit	Height2Unit	N	100
DOC	Volume	I	Volume	Volume	Volume	N	100
DOC	VolUnit	I	VolUnit	VolUnit	VolUnit	N	100
DOC	ProjectCode	I	ProjectCode	ProjectCode	ProjectCode	N	100
DOC	OcrCode	I	OcrCode	OcrCode	OcrCode	N	100
DOC	OcrCode2	I	OcrCode2	OcrCode2	OcrCode2	N	100
DOC	OcrCode3	I	OcrCode3	OcrCode3	OcrCode3	N	100
DOC	OcrCode4	I	OcrCode4	OcrCode4	OcrCode4	N	100
DOC	OcrCode5	I	OcrCode5	OcrCode5	OcrCode5	N	100
DOC	GTotal	I	GTotal	GTotal	GTotal	N	100
DOC	GTotalFC	I	GTotalFC	GTotalFC	GTotalFC	N	100
DOC	GrossProfit	I	GrossProfit	GrossProfit	GrossProfit	N	100
DOC	GrossProfitFC	I	GrossProfitFC	GrossProfitFC	GrossProfitFC	N	100
