DocFormGridColID	DocForm	ColID	DocType	Name	AliasName	Field	LineNum	VisNum	ShowColumn	HeaderCssClass	Editor	DataType	FieldCssClass	Width	ObjectType	CreatedByAppUserId	CreatedOn
	DOC	I_BaseLine	I	BaseLine	BASELINE	BaseLine	25	25	N	text-center				100		1	01/01/2001
	DOC	I_BaseDocNum	I	BaseDocNum	BASEDOCNUM	BaseDocNum	26	26	N	text-center				100		1	01/01/2001
	DOC	I_BaseDocRef	I	BaseDocRef	BASEDOCREF	BaseDocRef	27	27	N	text-center				100		1	01/01/2001
	DOC	I_TargetEntry	I	TargetEntry	TARGETENTRY	TargetEntry	28	28	N	text-center				100		1	01/01/2001
	DOC	I_LineStatus	I	LineStatus	LINESTATUS	LineStatus	29	29	N	text-center				100		1	01/01/2001
	DOC	I_TargetType	I	TargetType	TARGETTYPE	TargetType	30	30	N	text-center				100		1	01/01/2001
	DOC	I_TargetLine	I	TargetLine	TARGETLINE	TargetLine	31	31	N	text-center				100		1	01/01/2001
	DOC	I_TargetDocRef	I	TargetDocRef	TARGETDOCREF	TargetDocRef	32	32	N	text-center				100		1	01/01/2001
	DOC	I_Currency	I	Currency	CURRENCY	Currency	33	33	N	text-center				100		1	01/01/2001
	DOC	I_CardCode	I	CardCode	CARDCODE	CardCode	34	34	N	text-center				100		1	01/01/2001
	DOC	I_CardName	I	CardName	CARDNAME	CardName	35	35	N	text-left				100		1	01/01/2001
	DOC	I_DocDate	I	DocDate	DOCDATE	DocDate	36	36	N	text-center				100		1	01/01/2001
	DOC	I_Dscription2	I	Dscription2	DSCRIPTION2	Dscription2	37	37	N	text-left				100		1	01/01/2001
	DOC	I_OpenQty	I	OpenQty	OPENQTY	OpenQty	38	38	N	text-center				100		1	01/01/2001
	DOC	I_QtyPerPacUOM	I	QtyPerPacUOM	QTYPERPACUOM	QtyPerPacUOM	39	39	N	text-center				100		1	01/01/2001
	DOC	I_BaseQty	I	BaseQty	BASEQTY	BaseQty	40	40	N	text-center				100		1	01/01/2001
	DOC	I_BaseOpenQty	I	BaseOpenQty	BASEOPENQTY	BaseOpenQty	41	41	N	text-center				100		1	01/01/2001
	DOC	I_QtyToShip	I	QtyToShip	QTYTOSHIP	QtyToShip	42	42	N	text-center				100		1	01/01/2001
	DOC	I_DeliveredQty	I	DeliveredQty	DELIVEREDQTY	DeliveredQty	43	43	N	text-center				100		1	01/01/2001
	DOC	I_OrderedQty	I	OrderedQty	ORDEREDQTY	OrderedQty	44	44	N	text-center				100		1	01/01/2001
	DOC	I_NumPerMsr	I	NumPerMsr	QTY/UOM	NumPerMsr	45	45	N	text-center				100		1	01/01/2001
	DOC	I_ShipDate	I	ShipDate	SHIPDATE	ShipDate	46	46	N	text-center				100		1	01/01/2001
	DOC	I_ShipToCode	I	ShipToCode	SHIPTOCODE	ShipToCode	47	47	N	text-center				100		1	01/01/2001
	DOC	I_ShipToDesc	I	ShipToDesc	SHIPTODESC	ShipToDesc	48	48	N	text-center				100		1	01/01/2001
	DOC	I_TotalInvntryQty	I	TotalInvntryQty	TOTALINVNTRYQTY	TotalInvntryQty	49	49	N	text-center				100		1	01/01/2001
	DOC	I_StockPrice	I	StockPrice	STOCKPRICE	StockPrice	50	50	N	text-center				100		1	01/01/2001
	DOC	I_StockValue	I	StockValue	STOCKVALUE	StockValue	51	51	N	text-center				100		1	01/01/2001
	DOC	I_INMPRice	I	INMPRice	INMPRICE	INMPRice	52	52	N	text-center				100		1	01/01/2001
	DOC	I_PickQty	I	PickQty	PICKQTY	PickQty	53	53	N	text-center				100		1	01/01/2001
	DOC	I_PickStatus	I	PickStatus	PICKSTATUS	PickStatus	54	54	N	text-center				100		1	01/01/2001
	DOC	I_InvntryUOM	I	InvntryUOM	INVNTRYUOM	InvntryUOM	55	55	N	text-center				100		1	01/01/2001
	DOC	I_ItemCost	I	ItemCost	ITEMCOST	ItemCost	56	56	N	text-center				100		1	01/01/2001
	DOC	I_PriceAfVat	I	PriceAfVat	PRICEAFVAT	PriceAfVat	57	57	N	text-center	SlickEditorText		text-right	100		1	01/01/2001
	DOC	I_DiscountAmt	I	DiscountAmt	DISCOUNTAMT	DiscountAmt	58	58	N	text-center				100		1	01/01/2001
	DOC	I_Discount2	I	Discount2	DISCOUNT2	Discount2	59	59	N	text-center				100		1	01/01/2001
	DOC	I_DiscountAmt2	I	DiscountAmt2	DISCOUNTAMT2	DiscountAmt2	60	60	N	text-center				100		1	01/01/2001
	DOC	I_Discount3	I	Discount3	DISCOUNT3	Discount3	61	61	N	text-center				100		1	01/01/2001
	DOC	I_DiscountAmt3	I	DiscountAmt3	DISCOUNTAMT3	DiscountAmt3	62	62	N	text-center				100		1	01/01/2001
	DOC	I_Discount4	I	Discount4	DISCOUNT4	Discount4	63	63	N	text-center				100		1	01/01/2001
	DOC	I_DiscountAmt4	I	DiscountAmt4	DISCOUNTAMT4	DiscountAmt4	64	64	N	text-center				100		1	01/01/2001
	DOC	I_Discount5	I	Discount5	DISCOUNT5	Discount5	65	65	N	text-center				100		1	01/01/2001
	DOC	I_DiscountAmt5	I	DiscountAmt5	DISCOUNTAMT5	DiscountAmt5	66	66	N	text-center				100		1	01/01/2001
	DOC	I_PriceBeforeDscnt	I	PriceBeforeDscnt	PRICEBEFOREDSCNT	PriceBeforeDscnt	67	67	N	text-center				100		1	01/01/2001
	DOC	I_VatPercent	I	VatPercent	VATPERCENT	VatPercent	68	68	N	text-center				100		1	01/01/2001
	DOC	I_VatSum	I	VatSum	VATSUM	VatSum	69	69	N	text-center				100		1	01/01/2001
	DOC	I_VatSumSys	I	VatSumSys	VATSUMSYS	VatSumSys	70	70	N	text-center				100		1	01/01/2001
	DOC	I_VatSumFC	I	VatSumFC	VATSUMFC	VatSumFC	71	71	N	text-center				100		1	01/01/2001
	DOC	I_FinacialPeriodID	I	FinacialPeriodID	FINACIALPERIODID	FinacialPeriodID	72	72	N	text-center				100		1	01/01/2001
	DOC	I_COGSAcct	I	COGSAcct	COGSACCT	COGSAcct	73	73	N	text-center				100		1	01/01/2001
	DOC	I_LineTotalFC	I	LineTotalFC	LINETOTALFC	LineTotalFC	74	74	N	text-center			text-right readonly-field	100		1	01/01/2001
	DOC	I_LineTotalSC	I	LineTotalSC	LINETOTALSC	LineTotalSC	75	75	N	text-center				100		1	01/01/2001
	DOC	I_LineVatSum	I	LineVatSum	LINEVATSUM	LineVatSum	76	76	N	text-center				100		1	01/01/2001
	DOC	I_LinVatSys	I	LinVatSys	LINVATSYS	LinVatSys	77	77	N	text-center				100		1	01/01/2001
	DOC	I_LineVatFC	I	LineVatFC	LINEVATFC	LineVatFC	78	78	N	text-center				100		1	01/01/2001
	DOC	I_OpenSum	I	OpenSum	OPENSUM	OpenSum	79	79	N	text-center				100		1	01/01/2001
	DOC	I_OpenSumFC	I	OpenSumFC	OPENSUMFC	OpenSumFC	80	80	N	text-center				100		1	01/01/2001
	DOC	I_Factor1	I	Factor1	FACTOR1	Factor1	81	81	N	text-center				100		1	01/01/2001
	DOC	I_Factor2	I	Factor2	FACTOR2	Factor2	82	82	N	text-center				100		1	01/01/2001
	DOC	I_Factor3	I	Factor3	FACTOR3	Factor3	83	83	N	text-center				100		1	01/01/2001
	DOC	I_Factor4	I	Factor4	FACTOR4	Factor4	84	84	N	text-center				100		1	01/01/2001
	DOC	I_Length1	I	Length1	LENGTH1	Length1	85	85	N	text-center				100		1	01/01/2001
	DOC	I_Len1Unit	I	Len1Unit	LEN1UNIT	Len1Unit	86	86	N	text-center				100		1	01/01/2001
	DOC	I_Width1	I	Width1	WIDTH1	Width1	87	87	N	text-center				100		1	01/01/2001
	DOC	I_Width1Unit	I	Width1Unit	WIDTH1UNIT	Width1Unit	88	88	N	text-center				100		1	01/01/2001
	DOC	I_Height1	I	Height1	HEIGHT1	Height1	89	89	N	text-center				100		1	01/01/2001
	DOC	I_Height1Unit	I	Height1Unit	HEIGHT1UNIT	Height1Unit	90	90	N	text-center				100		1	01/01/2001
	DOC	I_Length2	I	Length2	LENGTH2	Length2	91	91	N	text-center				100		1	01/01/2001
	DOC	I_Len2Unit	I	Len2Unit	LEN2UNIT	Len2Unit	92	92	N	text-center				100		1	01/01/2001
	DOC	I_Width2	I	Width2	WIDTH2	Width2	93	93	N	text-center				100		1	01/01/2001
	DOC	I_Width2Unit	I	Width2Unit	WIDTH2UNIT	Width2Unit	94	94	N	text-center				100		1	01/01/2001
	DOC	I_Height2	I	Height2	HEIGHT2	Height2	95	95	N	text-center				100		1	01/01/2001
	DOC	I_Height2Unit	I	Height2Unit	HEIGHT2UNIT	Height2Unit	96	96	N	text-center				100		1	01/01/2001
	DOC	I_Volume	I	Volume	VOLUME	Volume	97	97	N	text-center				100		1	01/01/2001
	DOC	I_VolUnit	I	VolUnit	VOLUNIT	VolUnit	98	98	N	text-center				100		1	01/01/2001
	DOC	I_ProjectCode	I	ProjectCode	PROJECTCODE	ProjectCode	99	99	N	text-center				100		1	01/01/2001
	DOC	I_OcrCode	I	OcrCode	OCRCODE	OcrCode	100	100	N	text-center				100		1	01/01/2001
	DOC	I_OcrCode2	I	OcrCode2	OCRCODE2	OcrCode2	101	101	N	text-center				100		1	01/01/2001
	DOC	I_OcrCode3	I	OcrCode3	OCRCODE3	OcrCode3	102	102	N	text-center				100		1	01/01/2001
	DOC	I_OcrCode4	I	OcrCode4	OCRCODE4	OcrCode4	103	103	N	text-center				100		1	01/01/2001
	DOC	I_OcrCode5	I	OcrCode5	OCRCODE5	OcrCode5	104	104	N	text-center				100		1	01/01/2001
	DOC	I_GTotalFC	I	GTotalFC	GTOTALFC	GTotalFC	105	105	N	text-center			text-right readonly-field	100		1	01/01/2001
	DOC	I_GrossProfit	I	GrossProfit	GROSSPROFIT	GrossProfit	106	106	N	text-center				100		1	01/01/2001
	DOC	I_GrossProfitFC	I	GrossProfitFC	GROSSPROFITFC	GrossProfitFC	107	107	N	text-center				100		1	01/01/2001
	DOC	S_LineNum	S	LineNum	#	LineNum	1	1	Y	text-center			text-center	20		1	01/01/2001
	DOC	S_Dscription	S	Dscription	DESCRIPTION	Dscription	2	2	Y	text-left	SlickEditorsText			350		1	01/01/2001
	DOC	S_Price	S	Price	UNIT PRICE	Price	3	3	Y	text-center	SlickEditorsText	float	text-right	100		1	01/01/2001
	DOC	S_AcctCode	S	AcctCode	G/L ACCOUNT 	AcctCode	4	4	Y	text-center	LinkTextBoxEditor			100		1	01/01/2001
	DOC	S_AcctName	S	AcctName	G/L ACCOUNT NAME	AcctName	5	5	Y	text-left				350		1	01/01/2001
	DOC	S_VatGroup	S	VatGroup	VATGROUP	VatGroup	6	6	Y	text-center	SelectListEditor		text-center	150	VTG	1	01/01/2001
	DOC	S_LineTotal	S	LineTotal	TOTAL	LineTotal	7	7	Y	text-center			text-right	100		1	01/01/2001
	DOC	S_DocNum	S	DocNum	DOCNUM	DocNum	8	8	N	text-center				100		1	01/01/2001
	DOC	S_VisNum	S	VisNum	VISNUM	VisNum	9	9	N	text-center				100		1	01/01/2001
	DOC	S_LineType	S	LineType	LINETYPE	LineType	10	10	N	text-center				100		1	01/01/2001
	DOC	S_Text	S	Text	TEXT	Text	11	11	N	text-center				100		1	01/01/2001
	DOC	S_ObjType	S	ObjType	OBJTYPE	ObjType	12	12	N	text-center				100		1	01/01/2001
	DOC	S_BaseEntry	S	BaseEntry	BASEENTRY	BaseEntry	13	13	N	text-center				100		1	01/01/2001
	DOC	S_BaseType	S	BaseType	BASETYPE	BaseType	14	14	N	text-center				100		1	01/01/2001
	DOC	S_BaseLine	S	BaseLine	BASELINE	BaseLine	15	15	N	text-center				100		1	01/01/2001
	DOC	S_BaseDocNum	S	BaseDocNum	BASEDOCNUM	BaseDocNum	16	16	N	text-center				100		1	01/01/2001
	DOC	S_BaseDocRef	S	BaseDocRef	BASEDOCREF	BaseDocRef	17	17	N	text-center				100		1	01/01/2001
	DOC	S_TargetEntry	S	TargetEntry	TARGETENTRY	TargetEntry	18	18	N	text-center				100		1	01/01/2001
	DOC	S_LineStatus	S	LineStatus	LINESTATUS	LineStatus	19	19	N	text-center				100		1	01/01/2001
	DOC	S_TargetType	S	TargetType	TARGETTYPE	TargetType	20	20	N	text-center				100		1	01/01/2001
	DOC	S_TargetLine	S	TargetLine	TARGETLINE	TargetLine	21	21	N	text-center				100		1	01/01/2001
	DOC	S_TargetDocRef	S	TargetDocRef	TARGETDOCREF	TargetDocRef	22	22	N	text-center				100		1	01/01/2001
	DOC	S_Currency	S	Currency	CURRENCY	Currency	23	23	N	text-center				100		1	01/01/2001
	DOC	S_CardCode	S	CardCode	CARDCODE	CardCode	24	24	N	text-center				100		1	01/01/2001
	DOC	S_CardName	S	CardName	CARDNAME	CardName	25	25	N	text-left				100		1	01/01/2001
	DOC	S_DocDate	S	DocDate	DOCDATE	DocDate	26	26	N	text-center				100		1	01/01/2001
	DOC	S_ItemCode	S	ItemCode	ITEMCODE	ItemCode	27	27	N	text-center				100		1	01/01/2001
	DOC	S_Dscription2	S	Dscription2	DSCRIPTION2	Dscription2	28	28	N	text-left				100		1	01/01/2001
	DOC	S_WhsCode	S	WhsCode	WAREHOUSE	WhsCode	29	29	N	text-center				100		1	01/01/2001
	DOC	S_Quantity	S	Quantity	QUANTITY	Quantity	30	30	N	text-center				100		1	01/01/2001
	DOC	S_OpenQty	S	OpenQty	OPENQTY	OpenQty	31	31	N	text-center				100		1	01/01/2001
	DOC	S_QtyPerPacUOM	S	QtyPerPacUOM	QTYPERPACUOM	QtyPerPacUOM	32	32	N	text-center				100		1	01/01/2001
	DOC	S_BaseQty	S	BaseQty	BASEQTY	BaseQty	33	33	N	text-center				100		1	01/01/2001
	DOC	S_BaseOpenQty	S	BaseOpenQty	BASEOPENQTY	BaseOpenQty	34	34	N	text-center				100		1	01/01/2001
	DOC	S_QtyToShip	S	QtyToShip	QTYTOSHIP	QtyToShip	35	35	N	text-center				100		1	01/01/2001
	DOC	S_DeliveredQty	S	DeliveredQty	DELIVEREDQTY	DeliveredQty	36	36	N	text-center				100		1	01/01/2001
	DOC	S_OrderedQty	S	OrderedQty	ORDEREDQTY	OrderedQty	37	37	N	text-center				100		1	01/01/2001
	DOC	S_NumPerMsr	S	NumPerMsr	NUMPERMSR	NumPerMsr	38	38	N	text-center				100		1	01/01/2001
	DOC	S_ShipDate	S	ShipDate	SHIPDATE	ShipDate	39	39	N	text-center				100		1	01/01/2001
	DOC	S_ShipToCode	S	ShipToCode	SHIPTOCODE	ShipToCode	40	40	N	text-center				100		1	01/01/2001
	DOC	S_ShipToDesc	S	ShipToDesc	SHIPTODESC	ShipToDesc	41	41	N	text-center				100		1	01/01/2001
	DOC	S_UOM	S	UOM	UOM	UOM	42	42	N	text-center				100		1	01/01/2001
	DOC	S_TotalInvntryQty	S	TotalInvntryQty	TOTALINVNTRYQTY	TotalInvntryQty	43	43	N	text-center				100		1	01/01/2001
	DOC	S_StockPrice	S	StockPrice	STOCKPRICE	StockPrice	44	44	N	text-center				100		1	01/01/2001
	DOC	S_StockValue	S	StockValue	STOCKVALUE	StockValue	45	45	N	text-center				100		1	01/01/2001
	DOC	S_INMPRice	S	INMPRice	INMPRICE	INMPRice	46	46	N	text-center				100		1	01/01/2001
	DOC	S_PickQty	S	PickQty	PICKQTY	PickQty	47	47	N	text-center				100		1	01/01/2001
	DOC	S_PickStatus	S	PickStatus	PICKSTATUS	PickStatus	48	48	N	text-center				100		1	01/01/2001
	DOC	S_InvntryUOM	S	InvntryUOM	INVNTRYUOM	InvntryUOM	49	49	N	text-center				100		1	01/01/2001
	DOC	S_ItemCost	S	ItemCost	ITEMCOST	ItemCost	50	50	N	text-center				100		1	01/01/2001
	DOC	S_PriceAfVat	S	PriceAfVat	PRICEAFVAT	PriceAfVat	51	51	N	text-center	SlickEditorsText		text-right	100		1	01/01/2001
	DOC	S_Discount	S	Discount	DISCOUNT %	Discount	52	52	N	text-center	SlickEditorsText		text-right	100		1	01/01/2001
	DOC	S_DiscountAmt	S	DiscountAmt	DISCOUNTAMT	DiscountAmt	53	53	N	text-center				100		1	01/01/2001
	DOC	S_Discount2	S	Discount2	DISCOUNT2	Discount2	54	54	N	text-center				100		1	01/01/2001
	DOC	S_DiscountAmt2	S	DiscountAmt2	DISCOUNTAMT2	DiscountAmt2	55	55	N	text-center				100		1	01/01/2001
	DOC	S_Discount3	S	Discount3	DISCOUNT3	Discount3	56	56	N	text-center				100		1	01/01/2001
	DOC	S_DiscountAmt3	S	DiscountAmt3	DISCOUNTAMT3	DiscountAmt3	57	57	N	text-center				100		1	01/01/2001
	DOC	S_Discount4	S	Discount4	DISCOUNT4	Discount4	58	58	N	text-center				100		1	01/01/2001
	DOC	S_DiscountAmt4	S	DiscountAmt4	DISCOUNTAMT4	DiscountAmt4	59	59	N	text-center				100		1	01/01/2001
	DOC	S_Discount5	S	Discount5	DISCOUNT5	Discount5	60	60	N	text-center				100		1	01/01/2001
	DOC	S_DiscountAmt5	S	DiscountAmt5	DISCOUNTAMT5	DiscountAmt5	61	61	N	text-center				100		1	01/01/2001
	DOC	S_PriceBeforeDscnt	S	PriceBeforeDscnt	PRICEBEFOREDSCNT	PriceBeforeDscnt	62	62	N	text-center				100		1	01/01/2001
	DOC	S_WtLiable	S	WtLiable	WTAX LIABLE	WtLiable	63	63	N	text-center	SelectListEditor		text-center	100	WHT	1	01/01/2001
	DOC	S_VatPercent	S	VatPercent	VATPERCENT	VatPercent	64	64	N	text-center				100		1	01/01/2001
	DOC	S_VatSum	S	VatSum	VATSUM	VatSum	65	65	N	text-center				100		1	01/01/2001
	DOC	S_VatSumSys	S	VatSumSys	VATSUMSYS	VatSumSys	66	66	N	text-center				100		1	01/01/2001
	DOC	S_VatSumFC	S	VatSumFC	VATSUMFC	VatSumFC	67	67	N	text-center				100		1	01/01/2001
	DOC	S_FinacialPeriodID	S	FinacialPeriodID	FINACIALPERIODID	FinacialPeriodID	68	68	N	text-center				100		1	01/01/2001
	DOC	S_COGSAcct	S	COGSAcct	COGSACCT	COGSAcct	69	69	N	text-center	LinkTextBoxEditor			150		1	01/01/2001
	DOC	S_LineTotal	S	LineTotal	TOTAL	LineTotal	70	70	N	text-center			text-right	100		1	01/01/2001
	DOC	S_LineTotalFC	S	LineTotalFC	LINETOTALFC	LineTotalFC	71	71	N	text-center			text-right	100		1	01/01/2001
	DOC	S_LineTotalSC	S	LineTotalSC	LINETOTALSC	LineTotalSC	72	72	N	text-center				100		1	01/01/2001
	DOC	S_LineVatSum	S	LineVatSum	LINEVATSUM	LineVatSum	73	73	N	text-center				100		1	01/01/2001
	DOC	S_LinVatSys	S	LinVatSys	LINVATSYS	LinVatSys	74	74	N	text-center				100		1	01/01/2001
	DOC	S_LineVatFC	S	LineVatFC	LINEVATFC	LineVatFC	75	75	N	text-center				100		1	01/01/2001
	DOC	S_OpenSum	S	OpenSum	OPENSUM	OpenSum	76	76	N	text-center				100		1	01/01/2001
	DOC	S_OpenSumFC	S	OpenSumFC	OPENSUMFC	OpenSumFC	77	77	N	text-center				100		1	01/01/2001
	DOC	S_Factor1	S	Factor1	FACTOR1	Factor1	78	78	N	text-center				100		1	01/01/2001
	DOC	S_Factor2	S	Factor2	FACTOR2	Factor2	79	79	N	text-center				100		1	01/01/2001
	DOC	S_Factor3	S	Factor3	FACTOR3	Factor3	80	80	N	text-center				100		1	01/01/2001
	DOC	S_Factor4	S	Factor4	FACTOR4	Factor4	81	81	N	text-center				100		1	01/01/2001
	DOC	S_Length1	S	Length1	LENGTH1	Length1	82	82	N	text-center				100		1	01/01/2001
	DOC	S_Len1Unit	S	Len1Unit	LEN1UNIT	Len1Unit	83	83	N	text-center				100		1	01/01/2001
	DOC	S_Width1	S	Width1	WIDTH1	Width1	84	84	N	text-center				100		1	01/01/2001
	DOC	S_Width1Unit	S	Width1Unit	WIDTH1UNIT	Width1Unit	85	85	N	text-center				100		1	01/01/2001
	DOC	S_Height1	S	Height1	HEIGHT1	Height1	86	86	N	text-center				100		1	01/01/2001
	DOC	S_Height1Unit	S	Height1Unit	HEIGHT1UNIT	Height1Unit	87	87	N	text-center				100		1	01/01/2001
	DOC	S_Length2	S	Length2	LENGTH2	Length2	88	88	N	text-center				100		1	01/01/2001
	DOC	S_Len2Unit	S	Len2Unit	LEN2UNIT	Len2Unit	89	89	N	text-center				100		1	01/01/2001
	DOC	S_Width2	S	Width2	WIDTH2	Width2	90	90	N	text-center				100		1	01/01/2001
	DOC	S_Width2Unit	S	Width2Unit	WIDTH2UNIT	Width2Unit	91	91	N	text-center				100		1	01/01/2001
	DOC	S_Height2	S	Height2	HEIGHT2	Height2	92	92	N	text-center				100		1	01/01/2001
	DOC	S_Height2Unit	S	Height2Unit	HEIGHT2UNIT	Height2Unit	93	93	N	text-center				100		1	01/01/2001
	DOC	S_Volume	S	Volume	VOLUME	Volume	94	94	N	text-center				100		1	01/01/2001
	DOC	S_VolUnit	S	VolUnit	VOLUNIT	VolUnit	95	95	N	text-center				100		1	01/01/2001
	DOC	S_ProjectCode	S	ProjectCode	PROJECTCODE	ProjectCode	96	96	N	text-center				100		1	01/01/2001
	DOC	S_OcrCode	S	OcrCode	OCRCODE	OcrCode	97	97	N	text-center				100		1	01/01/2001
	DOC	S_OcrCode2	S	OcrCode2	OCRCODE2	OcrCode2	98	98	N	text-center				100		1	01/01/2001
	DOC	S_OcrCode3	S	OcrCode3	OCRCODE3	OcrCode3	99	99	N	text-center				100		1	01/01/2001
	DOC	S_OcrCode4	S	OcrCode4	OCRCODE4	OcrCode4	100	100	N	text-center				100		1	01/01/2001
	DOC	S_OcrCode5	S	OcrCode5	OCRCODE5	OcrCode5	101	101	N	text-center				100		1	01/01/2001
	DOC	S_GTotal	S	GTotal	GROSS TOTAL	GTotal	102	102	N	text-center			text-right	100		1	01/01/2001
	DOC	S_GTotalFC	S	GTotalFC	GTOTALFC	GTotalFC	103	103	N	text-center			text-right	100		1	01/01/2001
	DOC	S_GrossProfit	S	GrossProfit	GROSSPROFIT	GrossProfit	104	104	N	text-center				100		1	01/01/2001
	DOC	S_GrossProfitFC	S	GrossProfitFC	GROSSPROFITFC	GrossProfitFC	105	105	N	text-center				100		1	01/01/2001
	INVNTRY	IN_DocNum	I	DocNum	DOCNUM	DocNum	1	1	N	text-center				100		1	01/01/2001
	INVNTRY	IN_LineNum	I	LineNum	#	LineNum	2	2	Y	text-center				20		1	01/01/2001
	INVNTRY	IN_VisNum	I	VisNum	VISNUM	VisNum	3	3	N	text-center				100		1	01/01/2001
	INVNTRY	IN_LineType	I	LineType	LINETYPE	LineType	4	4	N	text-center				100		1	01/01/2001
	INVNTRY	IN_Text	I	Text	TEXT	Text	5	5	N	text-center				100		1	01/01/2001
	INVNTRY	IN_ObjType	I	ObjType	OBJTYPE	ObjType	6	6	N	text-center				100		1	01/01/2001
	INVNTRY	IN_BaseEntry	I	BaseEntry	BASEENTRY	BaseEntry	7	7	N	text-center				100		1	01/01/2001
	INVNTRY	IN_BaseType	I	BaseType	BASETYPE	BaseType	8	8	N	text-center				100		1	01/01/2001
	INVNTRY	IN_BaseLine	I	BaseLine	BASELINE	BaseLine	9	9	N	text-center				100		1	01/01/2001
	INVNTRY	IN_BaseDocNum	I	BaseDocNum	BASEDOCNUM	BaseDocNum	10	10	N	text-center				100		1	01/01/2001
	INVNTRY	IN_BaseDocRef	I	BaseDocRef	BASEDOCREF	BaseDocRef	11	11	N	text-center				100		1	01/01/2001
	INVNTRY	IN_TargetEntry	I	TargetEntry	TARGETENTRY	TargetEntry	12	12	N	text-center				100		1	01/01/2001
	INVNTRY	IN_LineStatus	I	LineStatus	LINESTATUS	LineStatus	13	13	N	text-center				100		1	01/01/2001
	INVNTRY	IN_TargetType	I	TargetType	TARGETTYPE	TargetType	14	14	N	text-center				100		1	01/01/2001
	INVNTRY	IN_TargetLine	I	TargetLine	TARGETLINE	TargetLine	15	15	N	text-center				100		1	01/01/2001
	INVNTRY	IN_TargetDocRef	I	TargetDocRef	TARGETDOCREF	TargetDocRef	16	16	N	text-center				100		1	01/01/2001
	INVNTRY	IN_Currency	I	Currency	CURRENCY	Currency	17	17	N	text-center				100		1	01/01/2001
	INVNTRY	IN_CardCode	I	CardCode	CARDCODE	CardCode	18	18	N	text-center				100		1	01/01/2001
	INVNTRY	IN_CardName	I	CardName	CARDNAME	CardName	19	19	N	text-left				100		1	01/01/2001
	INVNTRY	IN_DocDate	I	DocDate	DOCDATE	DocDate	20	20	N	text-center				100		1	01/01/2001
